traceID,timestamp,TML Before Sanitization,TML After Sanitization,Formula Info,dropped/not,tokens dropped
175475e366b2b5a5,1735712673265524.0,[[Mobile Number] = '+919361319755' [Register Name] = 'aravindan m k' [Register Name]],[],,8,"['k', 'aravindan', 'register', 'number', '919361319755', 'name', 'm', 'mobile']"
19cbc1b067746fce,1735671984234121.0,[sum [Employees] sum [Members] by [Gender]],[sum [Employees] sum [Members] by [Gender]],,0,NA
1ca0d96e18122318,1735672091520372.0,[sum [Employees] sum [Members] [Date] = '2023' vs [Date] = '2024' by [Gender] [Gender] = 'f' [Gender] = 'm'],[sum [Employees] sum [Members] [Date] = '2023' vs [Date] = '2024' by [Gender] [Gender] = 'f' [Gender] = 'm'],"[{'name': 'Members(date = 2024)', 'expression': ""group_aggregate ( sum ( Members ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'Employees(date = 2024)', 'expression': ""group_aggregate ( sum ( Employees ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'Members(date = 2023)', 'expression': ""group_aggregate ( sum ( Members ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'Employees(date = 2023)', 'expression': ""group_aggregate ( sum ( Employees ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'YearName(Date) = 2023 OR YearName(Date) = 2024', 'expression': ""year_name ( Date ) = \\'2023\\' or year_name ( Date ) = \\'2024\\'""}]",0,NA
1fcee5064ee33747,1735673036377803.0,[sum [Number of patients] by [State] sort by [Number of patients] descending],[sum [Number of patients] by [State] sort by [Number of patients] descending],,0,NA
21587066f4e93106,1735755839597228.0,[[percentage of dermatology cases] top 1 [TRIGGER] sort by count [TRIGGER] [CLASS] = 'dermatology'],[top 1 [TRIGGER] [percentage of dermatology cases] [CLASS] = 'dermatology' sort by count [TRIGGER]],"[{'name': 'total cases', 'expression': 'count ( class )'}, {'name': 'dermatology cases', 'expression': ""count_if ( class = \\'dermatology\\', class )""}, {'name': 'percentage of dermatology cases', 'expression': 'dermatology cases / total cases * 100'}]",0,NA
2395f99bf4efca8d,1735707063175607.0,[[Project Name] [Created Date] = '2024' [Source] = 'xray'],[[Project Name] [Source] = 'xray' [Created Date] = '2024'],,0,NA
23edd5be04fbaf8e,1735671937099227.0,[[Members] [Date] = '2023'],[[Members] [Date] = '2023'],,0,NA
2690cd1e8d752ebd,1735709079255609.0,[[zip code]],[[zip code]],,0,NA
2802f0c0c5328f70,1735756080556422.0,[top 1 [CENTERINFO] sort by [NEGATIONS] [ROOTWORD] [AREA] = 'Dermatology'],[top 1 [ROOTWORD] [CENTERINFO] [AREA] = 'dermatology' sort by [NEGATIONS]],,0,NA
2967e2693391fff7,1735684544404000.0,[unique count [User Sessionid] [Eventtime] = 'yesterday'],[unique count [User Sessionid] [Eventtime] = 'yesterday'],,0,NA
2cc32c7ca5c1eedd,1735673875473809.0,[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = [Relationship].'e' [Relationship] = [Relationship].'c' [Relationship] = [Relationship].'s' average [Members] by [Relationship] [Date] = '2023'],[[sum of members divided by unique count of month] average [Members] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's' [Date] = '2023'],"[{'name': 'sum of members', 'expression': 'sum ( members )'}, {'name': 'unique count of month', 'expression': 'unique count ( month ( date ) )'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}, {'name': 'sum of members divided by unique count of month(date = 2024)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( date ) = \\'2024\\' } )""}, {'name': 'sum of members divided by unique count of month(date = 2023)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( date ) = \\'2023\\' } )""}, {'name': 'yearname(date) = 2023 or yearname(date) = 2024', 'expression': ""year_name ( date ) = \\'2023\\' or year_name ( date ) = \\'2024\\'""}, {'name': 'grand total', 'expression': 'sum ( sum of members divided by unique count of month(date = 2023), sum of members divided by unique count of month(date = 2024) )'}]",0,NA
3154b38cce3d7c52,1735726217313232.0,[sum [sales] by [product]],[sum [sales] by [product]],,0,NA
34b05144f8d543d9,1735720424247853.0,[average [Deployment Duration Minutes] [entities_stg__organization_Id] = 'c605ab22-f906-495b-8ae4-655e531a9d58'],[average [Deployment Duration Minutes] [entities_stg__organization_Id] = 'c605ab22-f906-495b-8ae4-655e531a9d58'],,0,NA
3590aa3079fce1ca,1735733065839401.0,[[Project Name] [Created Date] = '2024' [Source] = 'xray'],[[Project Name] [Source] = 'xray' [Created Date] = '2024'],,0,NA
359cb1ae25f04f21,1735676468939033.0,[average [Fedex Decked Cost] [Fedex Dest State] = [Fedex Dest State].'ca' by [Max Item Weight]],[average [Fedex Decked Cost] by [Max Item Weight] [Fedex Dest State] = 'ca'],,0,NA
3a645c7e49b29535,1735735889500000.0,[[OOA Preleads] [Landing Page] = 'electrical'],[[OOA Preleads] [Landing Page] = 'electrical'],,0,NA
3b804e92959ef92a,1735674206367067.0,[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = [Relationship].'e' [Relationship] = [Relationship].'c' [Relationship] = [Relationship].'s' [Gender] = 'm' [Gender] = 'f'],[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's' [Gender] = 'm' [Gender] = 'f'],"[{'name': 'sum of members', 'expression': 'sum ( Members )'}, {'name': 'unique count of month', 'expression': 'unique count ( month ( Date ) )'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}, {'name': 'sum of members divided by unique count of month(date = 2024)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'sum of members divided by unique count of month(date = 2023)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'YearName(Date) = 2023 OR YearName(Date) = 2024', 'expression': ""year_name ( Date ) = \\'2023\\' or year_name ( Date ) = \\'2024\\'""}]",0,NA
3de2a80e714320d4,1735757631879844.0,[[CLASS] [CLASS] = 'kidney disease'],[[CLASS] [CLASS] = 'kidney disease'],,0,NA
3e63fb0e518fe7a4,1735757581928069.0,[top 10 [ROOTWORD] sort by count [ROOTWORD]],[top 10 [ROOTWORD] sort by count [ROOTWORD]],,0,NA
41169feae79fc173,1735757665407422.0,[[percentage of oncology cases]],[[percentage of oncology cases]],"[{'name': 'Total Count of Cases', 'expression': 'group_aggregate(count(TRIGGER), query_groups(), query_filters())'}, {'name': 'Oncology Cases', 'expression': ""group_aggregate(count(TRIGGER), query_groups(), query_filters() + { TRIGGER = \\'oncology\\' })""}, {'name': 'percentage of oncology cases', 'expression': 'Oncology Cases / Total Count of Cases * 100'}]",0,NA
421f827e44063ad7,1735709440878917.0,[[Username]],[[Username]],,0,NA
43f683684fbb5ebf,1735676433984398.0,[average [Fedex Decked Cost] [Fedex Dest State] = 'ca'],[average [Fedex Decked Cost] [Fedex Dest State] = 'ca'],,0,NA
44b143d0966e3b5d,1735757417811660.0,[top 1 [CLASS] sort by count [CLASS]],[top 1 [CLASS] sort by count [CLASS]],,0,NA
4c815e364752a3bd,1735673342818659.0,[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's'],[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's'],"[{'name': 'sum of members', 'expression': 'sum(members)'}, {'name': 'unique count of month', 'expression': 'unique count(month(date))'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}]",0,NA
4d3711d219b9004b,1735759283965438.0,[[SOURCE] [ROOTWORD] for each [ROOTWORD]],[[ROOTWORD] [SOURCE]],,2,"['each', 'for']"
51a2546d96175f00,1735700959694918.0,[top 5 [product] sort by [sales] [date] = 'last month'],[top 5 [product] [date] = 'last month' sort by [sales]],,0,NA
523b9ef1a8020d19,1735672663555349.0,[average [Average Member count per month] [Date].'monthly' [Date] = '2023' sort by [Date] [].'monthly' [Gender] = 'm' [Gender] = 'f'],[average [Average Member count per month] [Date].monthly [Date] = '2023' [Gender] = 'm' [Gender] = 'f' sort by [Date] [Date].monthly],,0,NA
5804d575b5fec270,1735671915454571.0,[[average monthly members count] [Date] = '2023' [Date].monthly],[[Date].monthly [Date] = '2023'],"[{'name': 'average monthly members count', 'expression': 'average ( average member count per month )'}]",3,"['members', 'average', 'count']"
58dd9a710336d56a,1735684594653167.0,[sum [Sales] [Date].yearly],[sum [Sales] [Date].yearly],,0,NA
591987c2f59ec9a4,1735672963602184.0,[average [Average Member count per month] [Date].monthly],[average [Average Member count per month] [Date].monthly],,0,NA
5ee9e7f0ccbab577,1735729611475740.0,[[Sales] [Region] = 'west'],[[Sales] [Region] = 'west'],,0,NA
5ef367c3c0be436c,1735673967658673.0,[[percentage of sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = [Relationship].'e' [Relationship] = [Relationship].'c' [Relationship] = [Relationship].'s'],[[percentage of sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's'],"[{'name': 'sum of members', 'expression': 'sum ( Members )'}, {'name': 'unique count of month', 'expression': 'unique count ( month ( Date ) )'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}, {'name': 'sum of members divided by unique count of month(date = 2024)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'sum of members divided by unique count of month(date = 2023)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'percentage of sum of members divided by unique count of month', 'expression': '( sum of members divided by unique count of month(date = 2024) / sum of members divided by unique count of month(date = 2023) ) * 100'}]",0,NA
61ceb2dcdbd3e7ea,1735681546862167.0,[[baitai_name] [a_lower_range] [a_kinmu_erea1] [a_kinmu_erea2] [a_hrog_syoku_m] [a_hrog_syoku_l]],[[a_lower_range] [a_kinmu_erea2] [a_hrog_syoku_l] [a_hrog_syoku_m] [baitai_name] [a_kinmu_erea1]],,0,NA
64274cd053cc184a,1735735909418000.0,[sum [Leads] by [Service Alias]],[sum [Leads] by [Service Alias]],,0,NA
6442e1aa5167879f,1735673274580070.0,[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024'],[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024'],"[{'name': 'sum of members', 'expression': 'sum(members)'}, {'name': 'unique count of month', 'expression': 'unique count(month(date))'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}]",0,NA
67068038f88da591,1735673573578611.0,[[percentage distribution of sum of members divided by unique count of month] [Date] = [Date].'2023' vs [Date] = [Date].'2024' [Relationship] [Relationship] = [Relationship].'e' [Relationship] = [Relationship].'c' [Relationship] = [Relationship].'s'],[[Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's'],"[{'name': 'sum of members', 'expression': 'sum ( members )'}, {'name': 'unique count of month', 'expression': 'unique count ( month ( date ) )'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}, {'name': 'sum of members divided by unique count of month(date = 2024)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( date ) = \\'2024\\' } )""}, {'name': 'sum of members divided by unique count of month(date = 2023)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( date ) = \\'2023\\' } )""}, {'name': 'yearname(date) = 2023 or yearname(date) = 2024', 'expression': ""year_name ( date ) = \\'2023\\' or year_name ( date ) = \\'2024\\'""}, {'name': 'percentage of sum of members divided by unique count of month', 'expression': '( sum of members divided by unique count of month(date = 2024) / ( sum of members divided by unique count of month(date = 2023) + sum of members divided by unique count of month(date = 2024) ) ) * 100'}, {'name': 'percentage distribution of sum of members divided by unique count of month', 'expression': 'group_aggregate ( percentage of sum of members divided by unique count of month , { Relationship } , query_filters ( ) )'}]",10,"['sum', 'members', 'percentage', 'unique', 'month', 'count', 'of', 'distribution', 'divided', 'by']"
6717f3c21238c1c7,1735715648779341.0,[[Billing Amount (Healthcare)]],[],,3,"['billing', 'amount', 'healthcare']"
68168629e238d397,1735673479596893.0,[[percentage of sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = [Relationship].'e' [Relationship] = [Relationship].'c' [Relationship] = [Relationship].'s'],[[percentage of sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's'],"[{'name': 'sum of members', 'expression': 'sum ( Members )'}, {'name': 'unique count of month', 'expression': 'unique count ( month ( Date ) )'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}, {'name': 'sum of members divided by unique count of month(date = 2024)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'sum of members divided by unique count of month(date = 2023)', 'expression': ""group_aggregate ( sum of members divided by unique count of month , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'YearName(Date) = 2023 OR YearName(Date) = 2024', 'expression': ""year_name ( Date ) = \\'2023\\' or year_name ( Date ) = \\'2024\\'""}, {'name': 'percentage of sum of members divided by unique count of month', 'expression': '( sum of members divided by unique count of month(date = 2024) / ( sum of members divided by unique count of month(date = 2023) + sum of members divided by unique count of month(date = 2024) ) ) * 100'}]",0,NA
697e5c157260c6d3,1735715592395792.0,[[Sim Plan] [Mobile Number] = '+919361319755'],[],,5,"['number', '919361319755', 'mobile', 'plan', 'sim']"
6b977b6634af2326,1735673947846016.0,[unique count [Prescribing Doctor] [Prescribing Doctor] not in ([Prescribing Doctor] [Prescription] = 'metformin')],[unique count [Prescribing Doctor] [Prescribing Doctor] not in ( [Prescribing Doctor] [Prescription] = 'metformin' )],,0,NA
6c33dd776b156a21,1735709372562273.0,[[measure0] [Table Reported] = 'last year'],[[Table Reported] = 'last year'],,1,['measure0']
6dffdfb0a8bdf292,1735672350411159.0,[[average members 2023 vs 2024]],[],"[{'name': 'members calc 2023', 'expression': 'group_aggregate ( sum ( members ) , query_groups() , query_filters() + { year ( date ) = 2023 } )'}, {'name': 'members calc 2024', 'expression': 'group_aggregate ( sum ( members ) , query_groups() , query_filters() + { year ( date ) = 2024 } )'}, {'name': 'average members 2023', 'expression': 'group_aggregate ( average ( members ) , query_groups() , query_filters() + { year ( date ) = 2023 } )'}, {'name': 'average members 2024', 'expression': 'group_aggregate ( average ( members ) , query_groups() , query_filters() + { year ( date ) = 2024 } )'}]",5,"['2023', 'vs', 'members', 'average', '2024']"
6fc61dbf91ae5824,1735671823944226.0,[average [Age] [Date].'2023' vs [Date].'2024' [Claimtype] = [Claimtype].'null' [average monthly members count 2023 vs 2024]],[average [Age] [Date].2023 vs [Date].2024 [Claimtype] = 'null'],"[{'name': 'Avg Members 2023', 'expression': ""group_aggregate ( sum ( Members ) / 12 , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'Avg Members 2024', 'expression': ""group_aggregate ( sum ( Members ) / 12 , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'Age(2023)', 'expression': ""group_aggregate ( average ( Age ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'Age(2024)', 'expression': ""group_aggregate ( average ( Age ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'YearName(Date) = 2023 OR YearName(Date) = 2024', 'expression': ""year_name ( Date ) = \\'2023\\' or year_name ( Date ) = \\'2024\\'""}]",3,"['members', 'count', 'monthly']"
7508798ae6254831,1735679889185900.0,[top 10 [product] sort by [sales] [date] = 'last quarter'],[top 10 [product] [date] = 'last quarter' sort by [sales]],,0,NA
7778cff3f236e4d0,1735680037491023.0,[top 10 [product] [date] = 'last quarter' sort by [sales]],[top 10 [product] [date] = 'last quarter' sort by [sales]],,0,NA
7813f30d08238905,1735671231563034.0,[average [Age] [Date].'2023' vs [Date].'2024' [Claimtype] = [Claimtype].'null' by [Gender]],[average [Age] [Date].2023 vs [Date].2024 by [Gender] [Claimtype] = 'null'],"[{'name': 'Avg Members', 'expression': 'sum ( Members ) / average ( Members )'}, {'name': 'members_calc', 'expression': 'sum ( Members ) / 12'}, {'name': 'Age(2023)', 'expression': ""group_aggregate ( average ( Age ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'Age(2024)', 'expression': ""group_aggregate ( average ( Age ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'YearName(Date) = 2023 OR YearName(Date) = 2024', 'expression': ""year_name ( Date ) = \\'2023\\' or year_name ( Date ) = \\'2024\\'""}]",0,NA
7a7ab0bd4a533863,1735733213142523.0,[[Order ID] [Order Date] = 'this month'],[[Order ID] [Order Date] = 'this month'],,0,NA
7b7349cd9acb6907,1735755982703727.0,[top 1 [CENTERINFO] sort by [NEGATIONS] descending],[top 1 [CENTERINFO] sort by [NEGATIONS]],,1,['descending']
7c2c5345ebf485ed,1735758783738813.0,[[PATIENT] in (top 10 [ROOTWORD])],[[ROOTWORD]],,4,"['in', 'top', 'patient', '10']"
7cd1264f47b89904,1735729685775621.0,[[Sales] [Region] = 'west' by [Customer Name] [Order Date].monthly],[[Sales] [Order Date].monthly by [Customer Name] [Region] = 'west'],,0,NA
7ce81c123ee9f52d,1735672488626637.0,[[average Members 2023] vs [average Members 2024]],[[average members 2023] vs [average members 2024]],"[{'name': 'average Members 2023', 'expression': 'group_aggregate ( average ( Members ) , query_groups ( ) , query_filters ( ) + { year ( Date ) = 2023 } )'}, {'name': 'average Members 2024', 'expression': 'group_aggregate ( average ( Members ) , query_groups ( ) , query_filters ( ) + { year ( Date ) = 2024 } )'}]",0,NA
81ebc5e5d63ca9b5,1735757769223710.0,[top 1 [TRIGGER] sort by [NEGATIONS] descending],[top 1 [TRIGGER] sort by [NEGATIONS]],,1,['descending']
82fd6752f5188f03,1735757492541822.0,[[percentage of dermatology cases] [distinct rootwords]],[[percentage of dermatology cases] [distinct rootwords]],"[{'name': 'total class count', 'expression': 'group_aggregate ( count ( class ) , { } , { } )'}, {'name': 'dermatology class count', 'expression': ""group_aggregate ( count ( class ) , { } , { class = \\'dermatology\\' } )""}, {'name': 'percentage of dermatology cases', 'expression': 'dermatology class count / total class count * 100'}, {'name': 'distinct rootwords', 'expression': 'group_aggregate ( unique count ( rootword ) , { } , { } )'}]",0,NA
835de62417afc42f,1735732690195163.0,[[Order Date] = 'q1 2016' [Region] = [Region].'west' [Sales] [Profit] [Product Name] bottom 3 by [Profit] sort by [Profit] ascending],[bottom 3 by [Profit] [Product Name] [Sales] [Order Date] = 'q1 2016' [Region] = 'west' sort by [Profit]],,1,['ascending']
83ace6c7ed0648bc,1735757542534392.0,[[ROOTWORD]],[[ROOTWORD]],,0,NA
847cb188f776fca7,1735673396947599.0,[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] = [Relationship].'e' [Relationship] = [Relationship].'c' [Relationship] = [Relationship].'s' [Relationship]],[[sum of members divided by unique count of month] [Date] = '2023' vs [Date] = '2024' [Relationship] [Relationship] = 'e' [Relationship] = 'c' [Relationship] = 's'],"[{'name': 'sum of members', 'expression': 'sum(members)'}, {'name': 'unique count of month', 'expression': 'unique count(month(date))'}, {'name': 'sum of members divided by unique count of month', 'expression': 'sum of members / unique count of month'}]",0,NA
853a7834fb561f87,1735755867914199.0,[unique count [ROOTWORD]],[unique count [ROOTWORD]],,0,NA
8673b3337273b0a9,1735725683498822.0,[[sales] [date] = '2023' [region] = [region].'east' [item type].'Jackets' by [city] [city] = 'boston' vs [city] = 'columbia'],[[sales] [city] = 'boston' vs [city] = 'columbia' by [city] [item type].jackets [date] = '2023' [region] = 'east'],,0,NA
88814364246c72fd,1735755963794402.0,[top 1 [CENTERINFO] sort by [NEGATIONS] descending],[top 1 [CENTERINFO] sort by [NEGATIONS]],,1,['descending']
88afa07590bddf6c,1735712572697534.0,[[Mobile Number] = '+919361319755' [Register Name]],[],,5,"['number', '919361319755', 'name', 'mobile', 'register']"
8b75941815e6e854,1735757613585557.0,[top 10 [ROOTWORD] sort by count [ROOTWORD] [CLASS] = 'kidney disease'],[top 10 [ROOTWORD] [CLASS] = 'kidney disease' sort by count [ROOTWORD]],,0,NA
8c5d29a57a8fd773,1735676362811198.0,[bottom 1 [product] sort by [sales]],[bottom 1 [product] sort by [sales]],,0,NA
8e4fc82726ace636,1735673079743361.0,[sum [Number of patients] by [State] by [Prescription] sort by [Number of patients] descending],[sum [Number of patients] by [Prescription] by [State] sort by [Number of patients] descending],,0,NA
8eaaefd9ca133704,1735680073934270.0,[top 10 [product] [date] = 'this year' [region] = 'east' sort by [sales]],[top 10 [product] [date] = 'this year' [region] = 'east' sort by [sales]],,0,NA
9104d66d40a73111,1735758559689001.0,[count [ROOTWORD] where [ROOTWORD] = 'kidney disease'],[count [ROOTWORD] [ROOTWORD] = 'kidney disease'],,1,['where']
911d9f917803fbb2,1735671958394389.0,[[average monthly members count] [Date].monthly [Date] = '2023'],[[Date].monthly [Date] = '2023'],"[{'name': 'average monthly members count', 'expression': 'average ( average member count per month )'}]",3,"['members', 'average', 'count']"
9aa7d3c33020efb0,1735672371000823.0,[[Amount Allowed] by [Plan]],[[Amount Allowed] by [Plan]],,0,NA
9d43891274f9543d,1735671772034744.0,[average [Age] [Date].'2023' vs [Date].'2024' by [Gender] [Claimtype] = [Claimtype].'null' [Gender].'F' [Gender].'M' [average monthly members count 2023 vs 2024]],[average [Age] [Date].2023 vs [Date].2024 by [Gender] [Claimtype] = 'null' [Gender].f [Gender].m],"[{'name': 'yearname(date) = 2023 or yearname(date) = 2024', 'expression': ""year_name ( Date ) = \\'2023\\' or year_name ( Date ) = \\'2024\\'""}, {'name': 'age(2024)', 'expression': ""group_aggregate ( average ( Age ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2024\\' } )""}, {'name': 'age(2023)', 'expression': ""group_aggregate ( average ( Age ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' } )""}, {'name': 'avg members', 'expression': ""group_aggregate ( average ( Members ) , query_groups ( ) , query_filters ( ) + { year_name ( Date ) = \\'2023\\' or year_name ( Date ) = \\'2024\\' } )""}, {'name': 'members_calc', 'expression': 'sum ( Members ) / 12'}]",3,"['members', 'count', 'monthly']"
a213db2fccc5163e,1735673080452072.0,[average [Average Member count per month] [Date] = '2023'],[average [Average Member count per month] [Date] = '2023'],,0,NA
ac080f65bb3c5fe2,1735757830981836.0,[top 1 [WORDTYPE] sort by [NEGATIONS] descending],[top 1 [WORDTYPE] sort by [NEGATIONS]],,1,['descending']
b0cd9c5e128fa3a4,1735672250882221.0,[sum [Number of patients] [Prescribing Doctor] = 'moore'],[sum [Number of patients] [Prescribing Doctor] = 'moore'],,0,NA
b2261d56cdbb47a2,1735672452315866.0,[[Number of patients]],[[Number of patients]],,0,NA
b533e30a7920f4cd,1735671890852229.0,[[average monthly members count] [Date].monthly [Date] = '2023' vs [Date] = '2024'],[[Date] = '2023' vs [Date] = '2024' [Date].monthly],"[{'name': 'average monthly members count', 'expression': 'average ( Average Member count per month )'}]",3,"['members', 'average', 'count']"
b5f465746a441bfc,1735729823666300.0,[bottom 3 [State] sort by [Sales] [Region] = 'west' [Order Date] = 'january 2016'],[bottom 3 [State] [Order Date] = 'january 2016' [Region] = 'west' sort by [Sales]],,0,NA
b782e6146f8a6837,1735672322684341.0,[[members calc 2023 vs 2024]],[],"[{'name': 'members calc 2023', 'expression': 'group_aggregate ( sum ( Members ) , query_groups() , query_filters() + { year ( Date ) = 2023 } )'}, {'name': 'members calc 2024', 'expression': 'group_aggregate ( sum ( Members ) , query_groups() , query_filters() + { year ( Date ) = 2024 } )'}]",5,"['2023', 'vs', 'members', 'calc', '2024']"
ba1affc1bacfe20a,1735672427771469.0,[unique count [Prescribing Doctor] [State] = 'tx'],[unique count [Prescribing Doctor] [State] = 'tx'],,0,NA
bcfc04121fef6d2e,1735756273265457.0,[top 1 [AREA] sort by [NEGATIONS] descending],[top 1 [AREA] sort by [NEGATIONS]],,1,['descending']
